research article,article
research,article
poster presentation,x
case report,case
review,review
oral presentation,x
study protocol,metho
methodology article,metho
meeting abstract,x
proceedings,article
short report,article
software,software
commentary,opinion
methodology,metho
meeting report,meta
editorial,opinion
debate,opinion
primary research,article
database,data
original investigation,article
correspondence,opinion
correction,x
technical advance,metho
method,metho
original article,article
invited speaker presentation,x
original research,article
technical note,metho
hypothesis,hypothesis
lecture presentation,x
book review,meta
case study,case
introduction,meta
short paper,article
letter to the editor,opinion
paper report,x
analytic perspective,opinion
full research paper,article
workshop presentation,x
report,article
opinion,opinion
brief communication,meta
original clinical investigation,article
software review,metho
short communication,article
retraction,x
technical innovations,metho
article,article
systematic review,review
technical notes,metho
original basic research,article
minireview,review
brief report,article
discovery notes,article
preliminary communication,meta
letters to the editor,opinion
review article,review
original research article,article
moderated poster presentation,x
data note,data
project note,meta
comment,opinion
protocol,metho
genome update,data
technologist presentation,x
focus,meta
guide,meta
invited lecture presentation,x
clinical study,article
software article,software
keynote speaker presentation,x
genome databases,data
preface,x
rapid communication,x
reviews,review
debate article,opinion
question & answer,meta
keynote presentation,x
brief reports,article
featured talk presentation,x
letter,x
perspectives,
supplement,article
perspective,
oral presentations - session 2,x
systematic review protocol,metho
oral presentations - session 3,x
oral presentations - session 1,x
viewpoints,opinion
case control study,article
oral presentations - session 6,x
integrative article,review
keynote lecture presentation,x
poster presentation without discussion,x
book report,meta
short reports,article
research highlight,meta
mini-review,review
oral presentations - session 5,x
commentaries,opinion
foreword,x
oral presentations - session 4,x
current concept,
review of interventions,
article de recherche,x
question and answer,meta
paper,article
meeting abstracts,meta
scoping review,
guidelines,
research highlights,
meeting reports,x
open letter,x
letter to the editors,x
oral presentations,
survey/cross sectional study,
annotated bibliography,
conference proceedings,
forum,
notice of redundant publication,x
career perspective,x
genome database,x
erratum,x
session report,x
position article and guidelines,
supplement appendix,x
resource review,x
genome review,
questions & answers,x
protein family review,
systematic review update,
poster presentations,x
short review,
letter to editor,x
open debate,
long summaries,
primer,
overview - dataset comparison ii,
historical perspective,
non-randomised controlled trial,
congress report,
review and methods overview,
cohort study,
latest therapeutic developments,x
consensus statement,x
gene family update,
review and recommendations,x
reserach,x
update,
viewpoint,opinion
epilogue,x
expression of concern,x
article original,x
introductory lecture,x
musings,x
overview - dataset comparison i,
conference report,meta
review of strategies,metho
mise au point,x
introductory review,
tribune libre,x
